============================================
MODEL SUMMARY — WideResNet-28-4 + SE Attention
============================================
Dataset:          CIFAR-10
Total params:     5,893,962
Epochs:           200
Batch size:       128
Optimizer:        SGD (lr=0.1, momentum=0.9, wd=0.0005, nesterov)
Scheduler:        CosineAnnealingLR
Augmentation:     RandomCrop + HFlip + AutoAugment + Cutout(16)
Label smoothing:  0.1
Dropout:          0.3
Best val acc:     96.36%
============================================

--- Epoch log ---
Epoch 184 | train_loss=0.69984 acc=91.27% | val_loss=0.60380 val_acc=95.84%
Epoch 185 | train_loss=0.69672 acc=91.50% | val_loss=0.60101 val_acc=96.00%
Epoch 186 | train_loss=0.69458 acc=91.56% | val_loss=0.60720 val_acc=95.75%
Epoch 187 | train_loss=0.69031 acc=91.74% | val_loss=0.60361 val_acc=95.82%
Epoch 188 | train_loss=0.68878 acc=91.90% | val_loss=0.60191 val_acc=95.84%
Epoch 189 | train_loss=0.68748 acc=92.05% | val_loss=0.60032 val_acc=95.94%
Epoch 190 | train_loss=0.68114 acc=92.16% | val_loss=0.60077 val_acc=96.04%
Epoch 191 | train_loss=0.68300 acc=92.21% | val_loss=0.60192 val_acc=96.06%
Epoch 192 | train_loss=0.67865 acc=92.35% | val_loss=0.59916 val_acc=96.17%
Epoch 193 | train_loss=0.67821 acc=92.31% | val_loss=0.59850 val_acc=96.22%
Epoch 194 | train_loss=0.67868 acc=92.30% | val_loss=0.60000 val_acc=96.16%
Epoch 195 | train_loss=0.67431 acc=92.51% | val_loss=0.59840 val_acc=96.36%
Epoch 196 | train_loss=0.67729 acc=92.36% | val_loss=0.59576 val_acc=96.30%
Epoch 197 | train_loss=0.67342 acc=92.55% | val_loss=0.59703 val_acc=96.19%
Epoch 198 | train_loss=0.67200 acc=92.57% | val_loss=0.59730 val_acc=96.20%
Epoch 199 | train_loss=0.67442 acc=92.49% | val_loss=0.59795 val_acc=96.17%
Epoch 200 | train_loss=0.67436 acc=92.58% | val_loss=0.59755 val_acc=96.23%
